id,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
1,vFuJOpCl04OBm6FydCSv6N,Margaret Richardson,identify huge,Big sister,74,125134,True,0.5297378647956061,0.49142345768603213,0,-15.021342095630203,0,0.48359080238637764,0.5788779734623101,0.6877948107262957,0.6467789028197843,0.65880905939184,122.7228547744736,3,Classical
2,9i4Hx5ghhBa6PG5VSpa9gc,Erica Joseph,in strong,Note work,75,172050,True,0.15491645810945776,0.88956589363576,3,-51.19586710207209,0,0.17218606079594856,0.5337043046280521,0.6691391654676745,0.9890874216504904,0.7942484308190604,114.68547535226189,4,Hip Hop
3,8ppm6pS2zBXC9vT2pvhlKz,Ruth Hammond,line so,Image statement do,13,213429,False,0.8258511157519771,0.742301797029965,11,-35.32699356151535,1,0.8854843162857291,0.8634635906444714,0.544205885497101,0.24271082528222854,0.4505416749427139,63.677392793919275,4,Rock
4,Bp69XurVJT3Z2tWjPrOu7H,Christine Harris,community decade,Quickly subject cause,93,248912,False,0.6738487825022709,0.7097194674606674,9,-47.897389199268176,0,0.452864613859029,0.48642658777940595,0.3007922274123189,0.7908896256007703,0.8957542252149391,93.09490358121404,4,Pop
5,dQUNe4IUeYgct7GUo2cd6w,Brian Shelton,happy world,Front dark sister,83,210717,True,0.11735153144749999,0.28973145947164103,8,-2.920058965267515,0,0.7022841780411383,0.5616714306827908,0.8270418601026763,0.6288029054199321,0.28571695894821303,136.08394243489676,3,Jazz
6,kvNtd0qYjIsUxq4ORxprV2,Susan Miranda,answer ball,Project where year,56,271353,True,0.6434709405837266,0.08001241586181218,11,-32.257723341262704,0,0.3999603463047391,0.4589251868520673,0.45091597754843404,0.27228228046189107,0.6647451929011885,151.78051711385075,4,Rock
7,1aupXzrX8j4DkIM2Tr6qdM,Penny Jones,environment much,Physical,72,227187,True,0.9471061130214755,0.6383951087383699,4,-12.310927952019583,0,0.26094921594679876,0.09175776455739959,0.9957822924380625,0.7903572228278697,0.4037220432226635,70.26502073166455,4,Electronic
8,uukMR8oLXJmwnVxE3m9roO,Amy Nelson,production hear,Wrong give,92,223193,True,0.2702816426328891,0.1706640635706912,1,-47.88759144943065,1,0.5373658295712762,0.3691601700814864,0.6643961146025149,0.4638858016947256,0.2726052919950951,178.00765663850711,3,Classical
9,YgCcRFFkKKZUpoIglbMSRM,Jennifer Rodriguez,during far,With practice,99,125523,False,0.960310188373693,0.2736967671430577,10,-33.44455354434338,0,0.46472575067071975,0.4368827489014976,0.3267069284705042,0.6298443361721415,0.34589836070440416,152.2898522866595,4,Electronic
10,w5NmjhFSeawivE6vc4pcYX,Curtis Bowen,ago game,Responsibility her,31,181006,True,0.1967021660696282,0.5646864335222177,8,-54.13914759904822,1,0.909585366182769,0.015520009033791915,0.2421934701240167,0.572705669885266,0.954786929047054,117.8596373556993,3,Classical
11,GcQfqfKBlgyigj93bCFIyH,Melissa Morris,business now,Interesting growth,94,200042,False,0.03864646457252996,0.8516968982728077,6,-15.628412305574756,1,0.595835320494481,0.34386718228325275,0.13899449123191643,0.9855529960829378,0.18043545760662272,118.45301805208057,3,Hip Hop
12,qY4TVjO20bQr4GL8H1Ojoc,Todd Lee,site wish,Country police,61,241832,True,0.32914305687397516,0.8583974431545145,7,-47.97247432434488,0,0.03499817181542719,0.3625520630757687,0.5276920227363241,0.74222530502703,0.2990948611328189,65.77990513914243,4,Rock
13,1FlOiv2mMQ3QXwdm8Ip26S,Sarah Mccullough,fund green,From apply,27,147360,True,0.9898850753230354,0.8523896768008243,4,-20.43747467816783,0,0.11970656052944617,0.6333071934428043,0.4971812722781094,0.9510447786738728,0.992457288485542,118.12141511986013,3,Hip Hop
14,gGzLcLX91vyONxjTeNfLa6,Richard Ramos,conference new,Help discuss have,35,262146,False,0.24611859303619832,0.043769842450886554,5,-47.61026845556689,0,0.9823370433373024,0.5944725858584248,0.36806378064402234,0.29544006070691275,0.7417129673941311,130.40799651099627,4,Electronic
15,nnkKbEBNxKdjqGotcBwDkP,James Farley,up goal,Growth subject reach,8,120063,False,0.522285383708577,0.11330097199851885,2,-7.090154317376474,1,0.4877586134545704,0.22854472666102366,0.6820565881457,0.05317601057161769,0.255259054054809,75.41270425159104,4,Electronic
16,Kd8zmAflw4uxjUJRvgcXuB,Dylan Lee,baby tell,Also organization type miss,81,211756,False,0.2307015142846034,0.2203445935791637,1,-48.08964134101553,0,0.5193987017161829,0.5962910332580069,0.6093476074094385,0.5050919302413426,0.8448093322639874,129.8520233390566,4,Rock
17,MBu0PfBerUM5LpTbGFhzV0,Dawn Rosales,want improve,Alone property,19,223388,True,0.08768613094689037,0.889493934260725,0,-22.35500243276445,0,0.0233815215774541,0.10357383278127341,0.07357164347187861,0.0732456832410413,0.03908276511782327,140.39566853979272,4,Jazz
18,pJ5QO6BnQzyH3l7zwXhoJb,Ashley Morgan,wife data,Goal hand meeting,28,174414,False,0.1674921034572624,0.5595799891123675,11,-3.783353770000396,1,0.10790194182154589,0.8201456431792989,0.5147335090212719,0.3790156144265814,0.5388095700161765,91.28721051377828,4,Jazz
19,3hT3pV5vsnYopY2iT4JMEu,Kevin Boone,political debate,Appear thought,89,234046,True,0.7678318418827278,0.8565380869445174,9,-30.295808577634936,1,0.540159038694488,0.5265833541108884,0.9547404444618967,0.7202419854267367,0.16031247428456308,107.69933127619069,4,Hip Hop
